idx,cloze
32,[MASK]은 특히 푸틴 대통령이 이끄는 통합러시아당은 올해 총선 국가두마 하원 선거 을 앞두고 있기에 봉쇄 조치를 피하고자 한다 고 전하기도 했다.
33,러시아 보건당국 집계에 따르면 그간 러시아에선 315만여명의 [MASK] 확진자가 나왔고 이 가운데 5만여명이 숨졌다.
34,러시아 보건당국 집계에 따르면 그간 러시아에선 [MASK]만여명의 코로나19 확진자가 나왔고 이 가운데 5만여명이 숨졌다.
35,그러나 [MASK]연방 통계청 로스타트는 지난달 28일 자국의 코로나19 사망자 수가 보건당국 발표의 3배가 넘는 18만여명이라고 밝혔다.
36,그러나 러시아연방 통계청 로스타트는 지난달 28일 자국의 [MASK] 사망자 수가 보건당국 발표의 3배가 넘는 18만여명이라고 밝혔다.
37,그러나 러시아연방 통계청 로스타트는 지난달 [MASK]일 자국의 코로나19 사망자 수가 보건당국 발표의 3배가 넘는 18만여명이라고 밝혔다.
38,그러나 러시아연방 통계청 로스타트는 지난달 28일 자국의 코로나19 사망자 수가 보건당국 발표의 3배가 넘는 [MASK]만여명이라고 밝혔다.
39, [MASK] 농식품부 식량정책관은 지난 해는 기상이변에 따른 쌀 생산량 감소로 농업인의 어려움이 컸지만 쌀값이 상승하여 농가소득에 버팀목이 됐다 며 올해는 재해에 대비한 안정생산 쌀 품질 고급화 소비 확대 등을 지속적으로 추진해 생산자와 소비자 모두가 만족할 수 있도록 쌀 수급관리에 만전을 기할 계획 이라고 말했다.
40, 박수진 [MASK] 식량정책관은 지난 해는 기상이변에 따른 쌀 생산량 감소로 농업인의 어려움이 컸지만 쌀값이 상승하여 농가소득에 버팀목이 됐다 며 올해는 재해에 대비한 안정생산 쌀 품질 고급화 소비 확대 등을 지속적으로 추진해 생산자와 소비자 모두가 만족할 수 있도록 쌀 수급관리에 만전을 기할 계획 이라고 말했다.
41,[MASK] 이후 증가세를 보이던 미국산 원유 수입은 절반 수준으로 줄었고 러시아·노르웨이산 원유는 올 들어 수입량이 늘어난 것으로 나타났다.
42,2016년 이후 증가세를 보이던 미국산 원유 수입은 [MASK] 수준으로 줄었고 러시아·노르웨이산 원유는 올 들어 수입량이 늘어난 것으로 나타났다.
43,2016년 이후 증가세를 보이던 미국산 원유 수입은 절반 수준으로 줄었고 [MASK]·노르웨이산 원유는 올 들어 수입량이 늘어난 것으로 나타났다.
44,2016년 이후 증가세를 보이던 미국산 원유 수입은 절반 수준으로 줄었고 러시아·[MASK]산 원유는 올 들어 수입량이 늘어난 것으로 나타났다.
45,2016년 이후 증가세를 보이던 [MASK]산 원유 수입은 절반 수준으로 줄었고 러시아·노르웨이산 원유는 올 들어 수입량이 늘어난 것으로 나타났다.
46,[MASK] 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 11월 654만1000배럴로 51.2% 감소했다.
47,1일 [MASK]에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 11월 654만1000배럴로 51.2% 감소했다.
48,1일 한국석유공사에 따르면 지난해 1월 [MASK]산 원유 수입 규모는 1341만5000배럴에서 11월 654만1000배럴로 51.2% 감소했다.
49,1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 [MASK]에서 11월 654만1000배럴로 51.2% 감소했다.
50,1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 [MASK] 654만1000배럴로 51.2% 감소했다.
51,1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 11월 [MASK]로 51.2% 감소했다.
52,1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 11월 654만1000배럴로 [MASK] 감소했다.
53,1일 한국석유공사에 따르면 지난해 1월 미국산 원유 수입 규모는 1341만5000배럴에서 [MASK]월 654만1000배럴로 51.2% 감소했다.
54,전년 동기 [MASK] 와 비교해도 45.6% 줄었다.
55,전년 동기 1202만5000배럴 와 비교해도 [MASK] 줄었다.
56,[MASK]산 원유 수입량이 줄어든 이유는 가격 경쟁력을 상실했기 때문이다.
57,국내 정유업계는 [MASK]부터 중동산 원유보다 가격이 낮은 미국산 원유 수입을 늘려왔다.
58,국내 정유업계는 2016년부터 중동산 원유보다 가격이 낮은 [MASK]산 원유 수입을 늘려왔다.
59,국내 정유업계는 [MASK] 중동산 원유보다 가격이 낮은 미국산 원유 수입을 늘려왔다.
60,미국산 원유 자리를 꿰찬 곳은 [MASK]와 노르웨이다.
61,미국산 원유 자리를 꿰찬 곳은 러시아와 [MASK]다.
62,[MASK]산 원유 자리를 꿰찬 곳은 러시아와 노르웨이다.
63,[MASK]의 이란 제재 리스크를 줄이기 위한 정부의 원유 도입 다변화 정책 덕분이다.
64,그 결과 같은 기간 [MASK]산 원유는 396만6000배럴에서 504만배럴 362만2000배럴 로 27.0% 늘었다.
65,그 결과 같은 기간 러시아산 원유는 [MASK]만6000배럴에서 504만배럴 362만2000배럴 로 27.0% 늘었다.
66,그 결과 같은 기간 러시아산 원유는 396만6000배럴에서 [MASK]만배럴 362만2000배럴 로 27.0% 늘었다.
67,그 결과 같은 기간 러시아산 원유는 396만6000배럴에서 504만배럴 [MASK]만2000배럴 로 27.0% 늘었다.
68,그 결과 같은 기간 러시아산 원유는 396만6000배럴에서 504만배럴 362만2000배럴 로 [MASK].0% 늘었다.
69,[MASK]산 원유는 1월 수입량이 없었지만 11월 298만4000배럴로 크게 늘었다.
70,노르웨이산 원유는 1월 수입량이 없었지만 [MASK] 298만4000배럴로 크게 늘었다.
71,노르웨이산 원유는 1월 수입량이 없었지만 [MASK]월 298만4000배럴로 크게 늘었다.
72,노르웨이산 원유는 1월 수입량이 없었지만 11월 [MASK]만4000배럴로 크게 늘었다.
73,이는 [MASK] 7월 414만6000배럴 이후 가장 큰 규모다.
74,이는 2012년 7월 [MASK]만6000배럴 이후 가장 큰 규모다.
75,[MASK]산 원유 수입은 2 3년 만에 한 번씩 연간100만배럴 미만 수준이었으나 지난해 급증하기 시작했다.
76,노르웨이산 원유 수입은 2 [MASK] 만에 한 번씩 연간100만배럴 미만 수준이었으나 지난해 급증하기 시작했다.
77,운송비 환급과 더불어 수입 단가가 68.5달러 2월 에서 43.8달러 1[MASK] 까지 낮아진 영향이다.
78,운송비 환급과 더불어 수입 단가가 68.5달러 2월 에서 43.8달러 [MASK] 까지 낮아진 영향이다.
79,운송비 환급과 더불어 수입 단가가 68.5달러 2월 에서 43.8달러 [MASK]월 까지 낮아진 영향이다.
80,운송비 환급과 더불어 수입 단가가 [MASK].5달러 2월 에서 43.8달러 11월 까지 낮아진 영향이다.
81,운송비 환급과 더불어 수입 단가가 68.5달러 2월 에서 [MASK].8달러 11월 까지 낮아진 영향이다.
82,조상범 대한석유협회 관계자는 미국산 원유는 운송비가 비싸고 [MASK]19 이후 가격 경쟁력도 크게 떨어졌다 며 대신 가까운 러시아와 운송비 환급 혜택을 받을 수 있는 노르웨이로부터 원유 수입이 늘었다 고 설명했다.
83,조상범 대한석유협회 관계자는 미국산 원유는 운송비가 비싸고 코로나19 이후 가격 경쟁력도 크게 떨어졌다 며 대신 가까운 [MASK]와 운송비 환급 혜택을 받을 수 있는 노르웨이로부터 원유 수입이 늘었다 고 설명했다.
84,조상범 대한석유협회 관계자는 미국산 원유는 운송비가 비싸고 코로나19 이후 가격 경쟁력도 크게 떨어졌다 며 대신 가까운 러시아와 운송비 환급 혜택을 받을 수 있는 [MASK]로부터 원유 수입이 늘었다 고 설명했다.
85,조상범 대한석유협회 관계자는 [MASK]산 원유는 운송비가 비싸고 코로나19 이후 가격 경쟁력도 크게 떨어졌다 며 대신 가까운 러시아와 운송비 환급 혜택을 받을 수 있는 노르웨이로부터 원유 수입이 늘었다 고 설명했다.
86, 정기동 [MASK] 리테일 뷰티 디렉터는 코로나19 확산 이후 클렌징폼 클렌징젤 등 세안제품과 마스크 팩 미스트 등 피부 진정 제품 카테고리가 인기를 끌었다 며 외부 감염으로부터 건강과 피부를 보호하기 위한 세안 제품과 마스크로 자극받아 예민해진 피부 진정에 도움이 되는 제품을 찾는 고객이 늘어났기 때문일 것 이라고 설명했다.
87, 정기동 쿠팡 리테일 뷰티 디렉터는 [MASK] 확산 이후 클렌징폼 클렌징젤 등 세안제품과 마스크 팩 미스트 등 피부 진정 제품 카테고리가 인기를 끌었다 며 외부 감염으로부터 건강과 피부를 보호하기 위한 세안 제품과 마스크로 자극받아 예민해진 피부 진정에 도움이 되는 제품을 찾는 고객이 늘어났기 때문일 것 이라고 설명했다.
88, 정기동 쿠팡 리테일 뷰티 디렉터는 코로나[MASK] 확산 이후 클렌징폼 클렌징젤 등 세안제품과 마스크 팩 미스트 등 피부 진정 제품 카테고리가 인기를 끌었다 며 외부 감염으로부터 건강과 피부를 보호하기 위한 세안 제품과 마스크로 자극받아 예민해진 피부 진정에 도움이 되는 제품을 찾는 고객이 늘어났기 때문일 것 이라고 설명했다.
89,[MASK]의 장기화와 집콕 생활의 일상화로 홈그루밍 제품도 큰 관심을 받았다.
90,코로나[MASK]의 장기화와 집콕 생활의 일상화로 홈그루밍 제품도 큰 관심을 받았다.
91,[MASK]은 새해를 맞아 뷰티 트렌트별 시즌 대표 상품을 할인 판매하는 2021 뷰티 트렌드 기획전을 이달 7일까지 진행한다.
92,쿠팡은 새해를 맞아 뷰티 트렌트별 시즌 대표 상품을 할인 판매하는 [MASK]21 뷰티 트렌드 기획전을 이달 7일까지 진행한다.
93,쿠팡은 새해를 맞아 뷰티 트렌트별 시즌 대표 상품을 할인 판매하는 20[MASK] 뷰티 트렌드 기획전을 이달 7일까지 진행한다.
94,이병희 [MASK] 리테일 부사장은 코로나19가 장기화되면서 마스크로 인한 피부 트러블 집에서 스스로 관리할 수 있는 홈케어에 대한 고민과 관심이 계속 이어지고 있다 며 마스크 착용으로 예민해진 피부관리와 셀프케어가 필요한 요즘 이번 기획전이 트렌디한 뷰티 제품들을 구매할 수 있는 좋은 기회가 되길 바란다 고 말했다.
95,이병희 쿠팡 리테일 부사장은 [MASK]가 장기화되면서 마스크로 인한 피부 트러블 집에서 스스로 관리할 수 있는 홈케어에 대한 고민과 관심이 계속 이어지고 있다 며 마스크 착용으로 예민해진 피부관리와 셀프케어가 필요한 요즘 이번 기획전이 트렌디한 뷰티 제품들을 구매할 수 있는 좋은 기회가 되길 바란다 고 말했다.
96,이병희 쿠팡 리테일 부사장은 코로나[MASK]가 장기화되면서 마스크로 인한 피부 트러블 집에서 스스로 관리할 수 있는 홈케어에 대한 고민과 관심이 계속 이어지고 있다 며 마스크 착용으로 예민해진 피부관리와 셀프케어가 필요한 요즘 이번 기획전이 트렌디한 뷰티 제품들을 구매할 수 있는 좋은 기회가 되길 바란다 고 말했다.
97,‘대장주’ [MASK] 시가총액이 1년 사이 150조원 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 코스피 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다.
98,‘대장주’ 삼성전자 시가총액이 [MASK] 사이 150조원 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 코스피 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다.
99,‘대장주’ 삼성전자 시가총액이 1년 사이 [MASK] 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 코스피 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다.
100,‘대장주’ 삼성전자 시가총액이 1년 사이 150조원 넘게 불어나 증권사들 “올해도 강세 지속” 경향신문 [MASK] 상장기업의 시가총액이 사상 처음으로 우리나라 연간 명목 국내총생산 GDP 을 넘어선 것으로 보인다.
101,전문가들은 내년에도 [MASK] 강세가 이어질 것으로 보고 있다.
102,한국거래소 등에 따르면 국제통화기금 [MASK] 전망치 기준 명목 GDP 대비 코스피 시총 비율은 지난해 종가 12월30일 기준 104.2%로 사상 최고치를 기록했다.
103,개인 투자자들의 매수와 연말 외국인 자금 유입으로 [MASK]가 사상 최고치인 2873.47로 지난해 장을 마무리한 데 따른 것이다.
104,개인 투자자들의 매수와 연말 외국인 자금 유입으로 코스피가 사상 최고치인 [MASK]로 지난해 장을 마무리한 데 따른 것이다.
105,[MASK] 시총은 지난달 11일 처음으로 명목 GDP 1900조원 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 30일 1980조5000억원으로 불어났다.
106,코스피 시총은 지난달 [MASK]일 처음으로 명목 GDP 1900조원 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 30일 1980조5000억원으로 불어났다.
107,코스피 시총은 지난달 11일 처음으로 명목 GDP [MASK] 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 30일 1980조5000억원으로 불어났다.
108,코스피 시총은 지난달 11일 처음으로 명목 GDP 1900조원 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 [MASK]일 1980조5000억원으로 불어났다.
109,코스피 시총은 지난달 11일 처음으로 명목 GDP 1900조원 를 넘어선 데 이어 ‘연말 랠리’가 이어지며 폐장일인 지난달 30일 [MASK] 불어났다.
110,코스피 대장주 [MASK] 시총이 약 333조1000억원에서 약 483조6000억원으로 1년간 150조원 이상 불어난 것이 시총 증가에 기여했다.
111,코스피 대장주 삼성전자 시총이 약 333조1000억원에서 약 483조6000억원으로 [MASK]간 150조원 이상 불어난 것이 시총 증가에 기여했다.
112,코스피 대장주 삼성전자 시총이 약 333조1000억원에서 약 483조6000억원으로 1년간 [MASK] 이상 불어난 것이 시총 증가에 기여했다.
113,[MASK] 대장주 삼성전자 시총이 약 333조1000억원에서 약 483조6000억원으로 1년간 150조원 이상 불어난 것이 시총 증가에 기여했다.
114,코스피 대장주 삼성전자 시총이 약 [MASK]에서 약 483조6000억원으로 1년간 150조원 이상 불어난 것이 시총 증가에 기여했다.
115,코스피 대장주 삼성전자 시총이 약 333조1000억원에서 약 [MASK] 1년간 150조원 이상 불어난 것이 시총 증가에 기여했다.
116,코스피 대장주 삼성전자 시총이 약 333조1000억원에서 약 483조6000억원으로 [MASK] 150조원 이상 불어난 것이 시총 증가에 기여했다.
117,개인 투자자를 대상으로 한 사모펀드 판매가 [MASK] 연속 감소세를 기록한 것으로 조사됐다.
118,1일 [MASK]에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다.
119,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 [MASK] 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다.
120,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 [MASK]으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다.
121,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 [MASK] 2.4% 줄어든 것으로 집계됐다.
122,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 [MASK] 줄어든 것으로 집계됐다.
123,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조[MASK]00억 원으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다.
124,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 [MASK]월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2.4% 줄어든 것으로 집계됐다.
125,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2[MASK]% 줄어든 것으로 집계됐다.
126,1일 금융투자협회에 따르면 개인 투자자에게 판매된 사모펀드 판매잔액은 지난해 11월 말 현재 24조1000억 원으로 전월 말보다 6000억 원 2.[MASK] 줄어든 것으로 집계됐다.
127,이로써 판매 잔액은 지난해 7월부터 [MASK]째 감소세를 이어갔다.
128,이로써 판매 잔액은 지난해 [MASK] 5개월째 감소세를 이어갔다.
129,이로써 판매 잔액은 지난해 [MASK]부터 5개월째 감소세를 이어갔다.
130,이 잔액은 지난해 [MASK] 말 27조 원으로 사상 최대를 기록한 뒤 감소세로 돌아섰다.
131,이 잔액은 지난해 6월 말 [MASK]으로 사상 최대를 기록한 뒤 감소세로 돌아섰다.
132,[MASK] 382억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 10월 9969억 원 에는 1조 원 가까이 급감했다.
133,7월 382억 원이 줄어든 뒤 8월 [MASK] 9월 6839억 원으로 감소 폭이 커졌고 10월 9969억 원 에는 1조 원 가까이 급감했다.
134,7월 382억 원이 줄어든 뒤 8월 5893억 원 9월 [MASK]으로 감소 폭이 커졌고 10월 9969억 원 에는 1조 원 가까이 급감했다.
135,7월 382억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 [MASK]월 9969억 원 에는 1조 원 가까이 급감했다.
136,7월 382억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 10월 [MASK] 에는 1조 원 가까이 급감했다.
137,7월 382억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 10월 9969억 원 에는 [MASK] 가까이 급감했다.
138,7월 3[MASK]억 원이 줄어든 뒤 8월 5893억 원 9월 6839억 원으로 감소 폭이 커졌고 10월 9969억 원 에는 1조 원 가까이 급감했다.
139,7월부터 [MASK] 동안 2조9000억 원 넘게 줄어든 셈이다.
140,[MASK] 5개월 동안 2조9000억 원 넘게 줄어든 셈이다.
141,[MASK]부터 5개월 동안 2조9000억 원 넘게 줄어든 셈이다.
142,7월부터 5개월 동안 [MASK] 넘게 줄어든 셈이다.
143,판매잔액이 [MASK]을 기점으로 감소세로 전환한 것은 라임자산운용의 자전 거래를 통한 펀드 수익률 돌려막기 의혹 등이 제기된 데 이어 DLF 사태까지 터진 영향이 큰 것으로 풀이된다.
144,판매잔액이 7월을 기점으로 감소세로 전환한 것은 라임자산운용의 자전 거래를 통한 펀드 수익률 돌려막기 의혹 등이 제기된 데 이어 DLF 사태까지 터진 영향이 큰 것으로 [MASK].
145,우리은행은 [MASK] 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 48.2% 감소했다.
146,우리은행은 11월 말 현재 판매잔액이 1조5000억 원으로 [MASK] 말보다 1조4000억 원 48.2% 감소했다.
147,[MASK]은 11월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 48.2% 감소했다.
148,우리은행은 [MASK]월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 48.2% 감소했다.
149,우리은행은 11월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 48.[MASK] 감소했다.
150,우리은행은 11월 말 현재 판매잔액이 [MASK]으로 6월 말보다 1조4000억 원 48.2% 감소했다.
151,우리은행은 11월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 [MASK] 48.2% 감소했다.
152,우리은행은 11월 말 현재 판매잔액이 1조5000억 원으로 6월 말보다 1조4000억 원 [MASK].2% 감소했다.
153,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 [MASK] 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
154,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 [MASK] 말 29조 원에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
155,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 [MASK].1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
156,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 [MASK]월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
157,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 [MASK]에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
158,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 [MASK]으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
159,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 [MASK] 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
160,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 1[MASK] 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.49%로 하락했다.
161,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7[MASK]1%에서 6.49%로 하락했다.
162,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6[MASK]9%로 하락했다.
163,은행의 개인 투자자를 비롯한 전체 투자자에 대한 사모펀드 판매잔액은 6월 말 29조 원에서 11월 말 26조 원으로 약 3조 원 10.1% 줄었고 그 결과 판매 잔액 비중은 같은 기간 7.71%에서 6.4[MASK]로 하락했다.
164,증권사 판매잔액 비중은 6월 말 81.94%에서 [MASK] 말 82.62%로 상승했다.
165,증권사 판매잔액 비중은 [MASK] 말 81.94%에서 11월 말 82.62%로 상승했다.
166,증권사 판매잔액 비중은 6월 말 81.94%에서 [MASK]월 말 82.62%로 상승했다.
167,증권사 판매잔액 비중은 6월 말 81.94%에서 11월 말 82.6[MASK]로 상승했다.
168,증권사 판매잔액 비중은 6월 말 [MASK].94%에서 11월 말 82.62%로 상승했다.
169,증권사 판매잔액 비중은 6월 말 81[MASK]4%에서 11월 말 82.62%로 상승했다.
170,증권사 판매잔액 비중은 6월 말 81.9[MASK]에서 11월 말 82.62%로 상승했다.
171,증권사 판매잔액 비중은 6월 말 81.94%에서 11월 말 [MASK].62%로 상승했다.
